Offense,Month,Attempted,Completed,Total
,Aug - 2020,95,"12,287","12,382"
,Sep - 2020,119,"12,112","12,231"
,Oct - 2020,141,"12,704","12,845"
,Nov - 2020,115,"13,589","13,704"
,Dec - 2020,145,"14,458","14,603"
,Jan - 2021,122,"13,523","13,645"
,Feb - 2021,110,"11,490","11,600"
,Mar - 2021,120,"14,232","14,352"
,Apr - 2021,127,"13,398","13,525"
,May - 2021,159,"13,649","13,808"
,Jun - 2021,111,"13,974","14,085"
,Jul - 2021,138,"14,094","14,232"
,Aug - 2021,111,"14,112","14,223"
,Sep - 2021,120,"14,018","14,138"
,Oct - 2021,143,"14,864","15,007"
,Nov - 2021,124,"14,026","14,150"
,Dec - 2021,133,"15,244","15,377"
,Jan - 2022,150,"14,076","14,226"
,Feb - 2022,129,"12,610","12,739"
,Mar - 2022,145,"15,005","15,150"
,Apr - 2022,140,"15,316","15,456"
,May - 2022,155,"15,751","15,906"
,Jun - 2022,119,"15,393","15,512"
,Jul - 2022,137,"15,400","15,537"
,Aug - 2022,134,"15,509","15,643"
,Sep - 2022,152,"15,409","15,561"
,Oct - 2022,163,"15,534","15,697"
,Nov - 2022,118,"14,176","14,294"
,Dec - 2022,140,"14,803","14,943"
,Jan - 2023,139,"14,491","14,630"
,Feb - 2023,133,"12,682","12,815"
,Mar - 2023,158,"14,611","14,769"
,Apr - 2023,160,"13,951","14,111"
,May - 2023,159,"14,640","14,799"
,Jun - 2023,160,"14,484","14,644"
,Jul - 2023,224,"15,012","15,236"
,Aug - 2023,184,"14,846","15,030"
,Sep - 2023,169,"14,733","14,902"
,Oct - 2023,200,"15,246","15,446"
,Nov - 2023,194,"14,542","14,736"
,Dec - 2023,190,"14,852","15,042"
,Jan - 2024,165,"13,550","13,715"
,Feb - 2024,177,"13,798","13,975"
,Mar - 2024,156,"14,311","14,467"
,Apr - 2024,173,"14,411","14,584"
,May - 2024,156,"14,708","14,864"
,Jun - 2024,152,"14,068","14,220"
,Jul - 2024,176,"14,658","14,834"
,Aug - 2024,193,"14,936","15,129"
,Sep - 2024,174,"14,366","14,540"
,Oct - 2024,176,"15,035","15,211"
,Nov - 2024,155,"13,833","13,988"
,Dec - 2024,161,"14,460","14,621"
240 - Motor Vehicle Theft,Jan - 2019,95,"3,646","3,741"
,Feb - 2019,85,"3,381","3,466"
,Mar - 2019,137,"3,664","3,801"
,Apr - 2019,103,"3,617","3,720"
,May - 2019,104,"4,138","4,242"
,Jun - 2019,71,"4,112","4,183"
,Jul - 2019,78,"4,426","4,504"
,Aug - 2019,131,"4,389","4,520"
,Sep - 2019,127,"4,376","4,503"
,Oct - 2019,172,"4,606","4,778"
,Nov - 2019,161,"4,427","4,588"
,Dec - 2019,181,"4,623","4,804"
,Jan - 2020,188,"4,740","4,928"
,Feb - 2020,229,"4,916","5,145"
,Mar - 2020,211,"5,127","5,338"
,Apr - 2020,215,"5,058","5,273"
,May - 2020,211,"5,321","5,532"
,Jun - 2020,249,"5,808","6,057"
,Jul - 2020,244,"6,193","6,437"
,Aug - 2020,188,"6,295","6,483"
,Sep - 2020,201,"5,867","6,068"
,Oct - 2020,255,"6,291","6,546"
,Nov - 2020,227,"6,659","6,886"
,Dec - 2020,278,"6,986","7,264"
,Jan - 2021,291,"7,029","7,320"
,Feb - 2021,244,"6,098","6,342"
,Mar - 2021,253,"6,382","6,635"
,Apr - 2021,260,"6,500","6,760"
,May - 2021,317,"7,218","7,535"
,Jun - 2021,303,"7,296","7,599"
,Jul - 2021,268,"7,741","8,009"
,Aug - 2021,302,"7,824","8,126"
,Sep - 2021,271,"7,726","7,997"
,Oct - 2021,320,"7,554","7,874"
,Nov - 2021,313,"7,572","7,885"
,Dec - 2021,328,"7,600","7,928"
,Jan - 2022,301,"7,880","8,181"
,Feb - 2022,292,"6,906","7,198"
,Mar - 2022,287,"7,713","8,000"
,Apr - 2022,300,"7,587","7,887"
,May - 2022,297,"8,049","8,346"
,Jun - 2022,305,"8,178","8,483"
,Jul - 2022,439,"8,782","9,221"
,Aug - 2022,331,"8,376","8,707"
,Sep - 2022,371,"8,069","8,440"
,Oct - 2022,450,"8,457","8,907"
,Nov - 2022,454,"8,005","8,459"
,Dec - 2022,612,"8,515","9,127"
,Jan - 2023,605,"8,672","9,277"
,Feb - 2023,596,"7,710","8,306"
,Mar - 2023,808,"8,916","9,724"
,Apr - 2023,985,"8,867","9,852"
,May - 2023,"1,238","9,659","10,897"
,Jun - 2023,"1,397","9,688","11,085"
,Jul - 2023,"1,701","10,199","11,900"
,Aug - 2023,"1,492","9,703","11,195"
,Sep - 2023,"1,515","9,590","11,105"
,Oct - 2023,"1,755","9,985","11,740"
,Nov - 2023,"1,673","9,202","10,875"
,Dec - 2023,"1,543","9,253","10,796"
,Jan - 2024,"1,452","8,844","10,296"
,Feb - 2024,"1,207","8,008","9,215"
,Mar - 2024,"1,379","8,349","9,728"
,Apr - 2024,"1,134","7,831","8,965"
,May - 2024,"1,101","8,255","9,356"
,Jun - 2024,"1,041","7,924","8,965"
,Jul - 2024,"1,005","7,886","8,891"
,Aug - 2024,801,"7,800","8,601"
,Sep - 2024,763,"7,049","7,812"
,Oct - 2024,801,"7,096","7,897"
,Nov - 2024,776,"6,740","7,516"
,Dec - 2024,813,"7,059","7,872"
250 - Counterfeiting/Forgery,Jan - 2019,49,"1,295","1,344"
,Feb - 2019,38,"1,061","1,099"
,Mar - 2019,39,"1,083","1,122"
,Apr - 2019,55,"1,130","1,185"
,May - 2019,78,"1,285","1,363"
,Jun - 2019,56,"1,259","1,315"
,Jul - 2019,58,"1,375","1,433"
,Aug - 2019,72,"1,404","1,476"
,Sep - 2019,89,"1,352","1,441"
,Oct - 2019,122,"1,430","1,552"
,Nov - 2019,140,"1,372","1,512"
,Dec - 2019,102,"1,458","1,560"
,Jan - 2020,44,"1,620","1,664"
,Feb - 2020,55,"1,604","1,659"
,Mar - 2020,32,"1,395","1,427"
,Apr - 2020,50,"1,323","1,373"
,May - 2020,36,"1,306","1,342"
,Jun - 2020,34,"1,311","1,345"
,Jul - 2020,26,"1,203","1,229"
,Aug - 2020,40,"1,306","1,346"
,Sep - 2020,29,"1,280","1,309"
,Oct - 2020,37,"1,444","1,481"
,Nov - 2020,71,"1,547","1,618"
,Dec - 2020,88,"1,636","1,724"
,Jan - 2021,70,"1,619","1,689"
,Feb - 2021,62,"1,262","1,324"
,Mar - 2021,69,"1,516","1,585"
,Apr - 2021,73,"1,399","1,472"
,May - 2021,49,"1,333","1,382"
,Jun - 2021,65,"1,471","1,536"
,Jul - 2021,59,"1,554","1,613"
,Aug - 2021,61,"1,642","1,703"
,Sep - 2021,54,"1,596","1,650"
,Oct - 2021,63,"1,669","1,732"
,Nov - 2021,62,"1,597","1,659"
,Dec - 2021,54,"1,823","1,877"
,Jan - 2022,62,"2,042","2,104"
,Feb - 2022,64,"1,831","1,895"
,Mar - 2022,70,"2,105","2,175"
,Apr - 2022,61,"2,049","2,110"
,May - 2022,81,"2,072","2,153"
,Jun - 2022,64,"2,061","2,125"
,Jul - 2022,76,"1,901","1,977"
,Aug - 2022,73,"1,968","2,041"
,Sep - 2022,75,"1,830","1,905"
,Oct - 2022,78,"1,771","1,849"
,Nov - 2022,63,"1,763","1,826"
,Dec - 2022,69,"1,609","1,678"
,Jan - 2023,60,"1,829","1,889"
,Feb - 2023,66,"1,562","1,628"
,Mar - 2023,55,"1,665","1,720"
,Apr - 2023,61,"1,546","1,607"
,May - 2023,82,"1,774","1,856"
,Jun - 2023,86,"1,689","1,775"
,Jul - 2023,66,"1,776","1,842"
,Aug - 2023,97,"1,876","1,973"
,Sep - 2023,76,"1,782","1,858"
,Oct - 2023,64,"1,691","1,755"
,Nov - 2023,65,"1,573","1,638"
,Dec - 2023,58,"1,453","1,511"
,Jan - 2024,103,"1,591","1,694"
,Feb - 2024,55,"1,501","1,556"
,Mar - 2024,61,"1,533","1,594"
,Apr - 2024,50,"1,555","1,605"
,May - 2024,70,"1,463","1,533"
,Jun - 2024,65,"1,383","1,448"
,Jul - 2024,64,"1,440","1,504"
,Aug - 2024,55,"1,481","1,536"
,Sep - 2024,60,"1,467","1,527"
,Oct - 2024,68,"1,382","1,450"
,Nov - 2024,52,"1,274","1,326"
,Dec - 2024,78,"1,273","1,351"
26A - False Pretenses/Swindle/Confidence Game,Jan - 2019,53,"1,320","1,373"
,Feb - 2019,34,"1,255","1,289"
,Mar - 2019,55,"1,413","1,468"
,Apr - 2019,50,"1,334","1,384"
,May - 2019,58,"1,481","1,539"
,Jun - 2019,34,"1,365","1,399"
,Jul - 2019,58,"1,600","1,658"
,Aug - 2019,55,"1,813","1,868"
,Sep - 2019,83,"1,708","1,791"
,Oct - 2019,67,"1,721","1,788"
,Nov - 2019,61,"1,601","1,662"
,Dec - 2019,76,"1,680","1,756"
,Jan - 2020,57,"1,852","1,909"
,Feb - 2020,71,"1,934","2,005"
,Mar - 2020,65,"1,779","1,844"
,Apr - 2020,79,"1,433","1,512"
,May - 2020,94,"1,646","1,740"
,Jun - 2020,68,"1,814","1,882"
,Jul - 2020,88,"1,879","1,967"
,Aug - 2020,86,"1,949","2,035"
,Sep - 2020,114,"1,990","2,104"
,Oct - 2020,92,"2,009","2,101"
,Nov - 2020,104,"2,207","2,311"
,Dec - 2020,108,"2,140","2,248"
,Jan - 2021,114,"2,601","2,715"
,Feb - 2021,102,"2,185","2,287"
,Mar - 2021,227,"3,516","3,743"
,Apr - 2021,251,"3,697","3,948"
,May - 2021,115,"2,596","2,711"
,Jun - 2021,86,"2,574","2,660"
,Jul - 2021,93,"2,482","2,575"
,Aug - 2021,114,"2,409","2,523"
,Sep - 2021,82,"2,254","2,336"
,Oct - 2021,95,"2,483","2,578"
,Nov - 2021,75,"2,333","2,408"
,Dec - 2021,100,"2,300","2,400"
,Jan - 2022,105,"2,643","2,748"
,Feb - 2022,106,"2,366","2,472"
,Mar - 2022,110,"2,739","2,849"
,Apr - 2022,115,"2,788","2,903"
,May - 2022,128,"2,776","2,904"
,Jun - 2022,135,"2,818","2,953"
,Jul - 2022,144,"2,670","2,814"
,Aug - 2022,164,"2,706","2,870"
,Sep - 2022,114,"2,689","2,803"
,Oct - 2022,122,"2,708","2,830"
,Nov - 2022,93,"2,331","2,424"
,Dec - 2022,98,"2,503","2,601"
,Jan - 2023,129,"2,890","3,019"
,Feb - 2023,112,"2,659","2,771"
,Mar - 2023,160,"3,005","3,165"
,Apr - 2023,119,"2,694","2,813"
,May - 2023,122,"2,839","2,961"
,Jun - 2023,144,"3,110","3,254"
,Jul - 2023,138,"2,910","3,048"
,Aug - 2023,128,"2,908","3,036"
,Sep - 2023,110,"2,771","2,881"
,Oct - 2023,117,"2,734","2,851"
,Nov - 2023,103,"2,487","2,590"
,Dec - 2023,130,"2,427","2,557"
,Jan - 2024,147,"2,725","2,872"
,Feb - 2024,140,"2,658","2,798"
,Mar - 2024,131,"2,757","2,888"
,Apr - 2024,123,"2,758","2,881"
,May - 2024,124,"2,828","2,952"
,Jun - 2024,130,"2,761","2,891"
,Jul - 2024,133,"2,787","2,920"
,Aug - 2024,162,"3,033","3,195"
,Sep - 2024,139,"2,742","2,881"
,Oct - 2024,159,"2,711","2,870"
,Nov - 2024,112,"2,481","2,593"
,Dec - 2024,116,"2,382","2,498"
26B - Credit Card/Automatic Teller Machine Fraud,Jan - 2019,34,"1,451","1,485"
,Feb - 2019,23,"1,376","1,399"
,Mar - 2019,30,"1,412","1,442"
,Apr - 2019,25,"1,363","1,388"
,May - 2019,36,"1,493","1,529"
,Jun - 2019,33,"1,417","1,450"
,Jul - 2019,28,"1,575","1,603"
,Aug - 2019,46,"1,665","1,711"
,Sep - 2019,53,"1,561","1,614"
,Oct - 2019,54,"1,812","1,866"
,Nov - 2019,53,"1,710","1,763"
,Dec - 2019,53,"1,772","1,825"
,Jan - 2020,40,"1,778","1,818"
,Feb - 2020,69,"1,857","1,926"
,Mar - 2020,49,"1,811","1,860"
,Apr - 2020,55,"1,677","1,732"
,May - 2020,57,"1,916","1,973"
,Jun - 2020,45,"1,797","1,842"
,Jul - 2020,34,"1,816","1,850"
,Aug - 2020,33,"1,813","1,846"
,Sep - 2020,55,"1,697","1,752"
,Oct - 2020,44,"1,794","1,838"
,Nov - 2020,86,"1,946","2,032"
,Dec - 2020,87,"2,112","2,199"
,Jan - 2021,98,"2,253","2,351"
,Feb - 2021,75,"1,769","1,844"
,Mar - 2021,80,"2,143","2,223"
,Apr - 2021,77,"1,937","2,014"
,May - 2021,80,"1,866","1,946"
,Jun - 2021,64,"1,970","2,034"
,Jul - 2021,75,"2,119","2,194"
,Aug - 2021,74,"1,929","2,003"
,Sep - 2021,74,"1,947","2,021"
,Oct - 2021,74,"2,162","2,236"
,Nov - 2021,92,"2,102","2,194"
,Dec - 2021,85,"2,063","2,148"
,Jan - 2022,92,"2,124","2,216"
,Feb - 2022,76,"1,969","2,045"
,Mar - 2022,107,"2,201","2,308"
,Apr - 2022,83,"2,104","2,187"
,May - 2022,101,"2,183","2,284"
,Jun - 2022,106,"2,221","2,327"
,Jul - 2022,118,"2,295","2,413"
,Aug - 2022,100,"2,107","2,207"
,Sep - 2022,92,"2,081","2,173"
,Oct - 2022,91,"2,052","2,143"
,Nov - 2022,93,"1,912","2,005"
,Dec - 2022,97,"2,020","2,117"
,Jan - 2023,117,"2,156","2,273"
,Feb - 2023,95,"1,900","1,995"
,Mar - 2023,119,"2,218","2,337"
,Apr - 2023,88,"2,111","2,199"
,May - 2023,124,"2,135","2,259"
,Jun - 2023,131,"2,247","2,378"
,Jul - 2023,138,"2,197","2,335"
,Aug - 2023,138,"2,342","2,480"
,Sep - 2023,124,"2,050","2,174"
,Oct - 2023,131,"2,142","2,273"
,Nov - 2023,114,"1,981","2,095"
,Dec - 2023,111,"2,071","2,182"
,Jan - 2024,125,"1,965","2,090"
,Feb - 2024,115,"1,968","2,083"
,Mar - 2024,107,"2,064","2,171"
,Apr - 2024,109,"1,994","2,103"
,May - 2024,104,"2,231","2,335"
,Jun - 2024,124,"2,114","2,238"
,Jul - 2024,102,"2,094","2,196"
,Aug - 2024,128,"2,019","2,147"
,Sep - 2024,119,"1,987","2,106"
,Oct - 2024,111,"2,012","2,123"
,Nov - 2024,108,"1,890","1,998"
,Dec - 2024,98,"1,918","2,016"
26C - Impersonation,Jan - 2019,22,625,647
,Feb - 2019,34,560,594
,Mar - 2019,31,598,629
,Apr - 2019,23,578,601
,May - 2019,22,536,558
,Jun - 2019,23,554,577
,Jul - 2019,15,570,585
,Aug - 2019,13,548,561
,Sep - 2019,23,467,490
,Oct - 2019,16,535,551
,Nov - 2019,13,506,519
,Dec - 2019,19,542,561
,Jan - 2020,24,677,701
,Feb - 2020,40,651,691
,Mar - 2020,50,619,669
,Apr - 2020,70,590,660
,May - 2020,57,705,762
,Jun - 2020,29,723,752
,Jul - 2020,39,845,884
,Aug - 2020,37,839,876
,Sep - 2020,55,"1,003","1,058"
,Oct - 2020,36,"1,011","1,047"
,Nov - 2020,36,974,"1,010"
,Dec - 2020,26,871,897
,Jan - 2021,35,823,858
,Feb - 2021,35,719,754
,Mar - 2021,101,"1,586","1,687"
,Apr - 2021,85,"1,646","1,731"
,May - 2021,41,698,739
,Jun - 2021,29,658,687
,Jul - 2021,29,742,771
,Aug - 2021,48,716,764
,Sep - 2021,34,725,759
,Oct - 2021,43,687,730
,Nov - 2021,31,659,690
,Dec - 2021,30,637,667
,Jan - 2022,33,751,784
,Feb - 2022,36,591,627
,Mar - 2022,45,709,754
,Apr - 2022,42,632,674
,May - 2022,39,635,674
,Jun - 2022,46,656,702
,Jul - 2022,43,629,672
,Aug - 2022,66,613,679
,Sep - 2022,55,524,579
,Oct - 2022,36,467,503
,Nov - 2022,32,391,423
,Dec - 2022,33,451,484
,Jan - 2023,26,510,536
,Feb - 2023,31,475,506
,Mar - 2023,32,512,544
,Apr - 2023,40,439,479
,May - 2023,33,503,536
,Jun - 2023,43,679,722
,Jul - 2023,25,588,613
,Aug - 2023,30,531,561
,Sep - 2023,37,492,529
,Oct - 2023,26,525,551
,Nov - 2023,29,424,453
,Dec - 2023,24,446,470
,Jan - 2024,42,581,623
,Feb - 2024,60,482,542
,Mar - 2024,53,505,558
,Apr - 2024,56,538,594
,May - 2024,51,496,547
,Jun - 2024,34,462,496
,Jul - 2024,41,479,520
,Aug - 2024,53,511,564
,Sep - 2024,42,486,528
,Oct - 2024,48,509,557
,Nov - 2024,42,455,497
,Dec - 2024,32,423,455
26D - Welfare Fraud,Jan - 2019,,5,5
,Feb - 2019,,6,6
,Mar - 2019,,5,5
,Apr - 2019,,8,8
,May - 2019,,2,2
,Jun - 2019,,2,2
,Jul - 2019,1,1,2
,Aug - 2019,,2,2
,Sep - 2019,,5,5
,Oct - 2019,,5,5
,Nov - 2019,,1,1
,Dec - 2019,,1,1
,Jan - 2020,,7,7
,Feb - 2020,,9,9
,Mar - 2020,,6,6
,Apr - 2020,,5,5
,May - 2020,,9,9
,Jun - 2020,1,10,11
,Jul - 2020,2,20,22
,Aug - 2020,2,23,25
,Sep - 2020,1,52,53
,Oct - 2020,4,58,62
,Nov - 2020,1,36,37
,Dec - 2020,3,36,39
,Jan - 2021,2,43,45
,Feb - 2021,3,45,48
,Mar - 2021,11,193,204
,Apr - 2021,14,222,236
,May - 2021,9,38,47
,Jun - 2021,3,14,17
,Jul - 2021,,35,35
,Aug - 2021,6,40,46
,Sep - 2021,2,27,29
,Oct - 2021,,13,13
,Nov - 2021,1,9,10
,Dec - 2021,,15,15
,Jan - 2022,,11,11
,Feb - 2022,1,16,17
,Mar - 2022,,20,20
,Apr - 2022,2,13,15
,May - 2022,,12,12
,Jun - 2022,1,10,11
,Jul - 2022,,11,11
,Aug - 2022,1,8,9
,Sep - 2022,1,13,14
,Oct - 2022,,17,17
,Nov - 2022,,14,14
,Dec - 2022,,12,12
,Jan - 2023,,10,10
,Feb - 2023,,13,13
,Mar - 2023,,24,24
,Apr - 2023,,22,22
,May - 2023,,15,15
,Jun - 2023,,16,16
,Jul - 2023,1,13,14
,Aug - 2023,,6,6
,Sep - 2023,,22,22
,Oct - 2023,,17,17
,Nov - 2023,1,15,16
,Dec - 2023,,10,10
,Jan - 2024,,16,16
,Feb - 2024,,8,8
,Mar - 2024,,13,13
,Apr - 2024,1,8,9
,May - 2024,1,21,22
,Jun - 2024,,12,12
,Jul - 2024,,27,27
,Aug - 2024,,19,19
,Sep - 2024,,10,10
,Oct - 2024,1,14,15
,Nov - 2024,2,21,23
,Dec - 2024,1,13,14
26E - Wire Fraud,Jan - 2019,3,41,44
,Feb - 2019,6,52,58
,Mar - 2019,1,58,59
,Apr - 2019,5,47,52
,May - 2019,4,51,55
,Jun - 2019,2,59,61
,Jul - 2019,7,74,81
,Aug - 2019,10,77,87
,Sep - 2019,4,43,47
,Oct - 2019,8,80,88
,Nov - 2019,6,73,79
,Dec - 2019,8,70,78
,Jan - 2020,9,102,111
,Feb - 2020,9,140,149
,Mar - 2020,10,128,138
,Apr - 2020,14,138,152
,May - 2020,6,182,188
,Jun - 2020,5,145,150
,Jul - 2020,15,143,158
,Aug - 2020,7,187,194
,Sep - 2020,9,136,145
,Oct - 2020,11,140,151
,Nov - 2020,14,158,172
,Dec - 2020,8,185,193
,Jan - 2021,14,198,212
,Feb - 2021,11,167,178
,Mar - 2021,32,225,257
,Apr - 2021,17,190,207
,May - 2021,7,197,204
,Jun - 2021,9,228,237
,Jul - 2021,8,223,231
,Aug - 2021,12,234,246
,Sep - 2021,9,239,248
,Oct - 2021,9,200,209
,Nov - 2021,12,222,234
,Dec - 2021,7,191,198
,Jan - 2022,12,236,248
,Feb - 2022,15,201,216
,Mar - 2022,12,205,217
,Apr - 2022,6,253,259
,May - 2022,11,238,249
,Jun - 2022,21,246,267
,Jul - 2022,15,208,223
,Aug - 2022,14,211,225
,Sep - 2022,13,256,269
,Oct - 2022,16,254,270
,Nov - 2022,6,221,227
,Dec - 2022,13,226,239
,Jan - 2023,13,258,271
,Feb - 2023,12,288,300
,Mar - 2023,15,289,304
,Apr - 2023,12,241,253
,May - 2023,22,295,317
,Jun - 2023,15,273,288
,Jul - 2023,19,252,271
,Aug - 2023,13,285,298
,Sep - 2023,16,256,272
,Oct - 2023,12,265,277
,Nov - 2023,5,232,237
,Dec - 2023,10,226,236
,Jan - 2024,8,270,278
,Feb - 2024,14,281,295
,Mar - 2024,13,266,279
,Apr - 2024,22,274,296
,May - 2024,15,289,304
,Jun - 2024,13,267,280
,Jul - 2024,14,273,287
,Aug - 2024,14,297,311
,Sep - 2024,28,260,288
,Oct - 2024,21,291,312
,Nov - 2024,14,226,240
,Dec - 2024,18,265,283
26F - Identity Theft,Jan - 2019,6,686,692
,Feb - 2019,11,538,549
,Mar - 2019,6,534,540
,Apr - 2019,14,554,568
,May - 2019,11,644,655
,Jun - 2019,9,604,613
,Jul - 2019,20,717,737
,Aug - 2019,23,832,855
,Sep - 2019,68,679,747
,Oct - 2019,83,810,893
,Nov - 2019,56,750,806
,Dec - 2019,56,812,868
,Jan - 2020,31,"1,126","1,157"
,Feb - 2020,18,"1,088","1,106"
,Mar - 2020,14,"1,069","1,083"
,Apr - 2020,31,"1,024","1,055"
,May - 2020,23,999,"1,022"
,Jun - 2020,29,"1,070","1,099"
,Jul - 2020,29,"1,156","1,185"
,Aug - 2020,22,"1,190","1,212"
,Sep - 2020,41,"1,359","1,400"
,Oct - 2020,40,"1,520","1,560"
,Nov - 2020,57,"1,564","1,621"
,Dec - 2020,65,"1,734","1,799"
,Jan - 2021,73,"2,518","2,591"
,Feb - 2021,67,"1,998","2,065"
,Mar - 2021,193,"5,433","5,626"
,Apr - 2021,214,"5,415","5,629"
,May - 2021,56,"1,872","1,928"
,Jun - 2021,43,"1,808","1,851"
,Jul - 2021,50,"1,654","1,704"
,Aug - 2021,43,"1,904","1,947"
,Sep - 2021,32,"1,612","1,644"
,Oct - 2021,35,"1,770","1,805"
,Nov - 2021,35,"1,673","1,708"
,Dec - 2021,42,"1,493","1,535"
,Jan - 2022,56,"2,018","2,074"
,Feb - 2022,59,"1,677","1,736"
,Mar - 2022,50,"2,028","2,078"
,Apr - 2022,46,"1,820","1,866"
,May - 2022,46,"1,727","1,773"
,Jun - 2022,44,"1,676","1,720"
,Jul - 2022,50,"1,665","1,715"
,Aug - 2022,62,"1,820","1,882"
,Sep - 2022,51,"1,609","1,660"
,Oct - 2022,51,"1,732","1,783"
,Nov - 2022,49,"1,597","1,646"
,Dec - 2022,41,"1,438","1,479"
,Jan - 2023,58,"2,145","2,203"
,Feb - 2023,52,"1,843","1,895"
,Mar - 2023,63,"2,157","2,220"
,Apr - 2023,54,"1,855","1,909"
,May - 2023,49,"2,050","2,099"
,Jun - 2023,62,"2,338","2,400"
,Jul - 2023,63,"1,969","2,032"
,Aug - 2023,62,"1,844","1,906"
,Sep - 2023,43,"1,623","1,666"
,Oct - 2023,45,"1,705","1,750"
,Nov - 2023,47,"1,560","1,607"
,Dec - 2023,37,"1,520","1,557"
,Jan - 2024,60,"1,900","1,960"
,Feb - 2024,64,"1,767","1,831"
,Mar - 2024,61,"1,842","1,903"
,Apr - 2024,49,"1,863","1,912"
,May - 2024,45,"1,620","1,665"
,Jun - 2024,49,"1,463","1,512"
,Jul - 2024,55,"1,640","1,695"
,Aug - 2024,57,"1,783","1,840"
,Sep - 2024,50,"1,658","1,708"
,Oct - 2024,50,"1,647","1,697"
,Nov - 2024,30,"1,387","1,417"
,Dec - 2024,43,"1,372","1,415"
26G - Hacking/Computer Invasion,Jan - 2019,5,26,31
,Feb - 2019,2,32,34
,Mar - 2019,,25,25
,Apr - 2019,4,23,27
,May - 2019,1,31,32
,Jun - 2019,2,23,25
,Jul - 2019,1,23,24
,Aug - 2019,2,22,24
,Sep - 2019,,25,25
,Oct - 2019,2,27,29
,Nov - 2019,2,21,23
,Dec - 2019,4,30,34
,Jan - 2020,5,37,42
,Feb - 2020,1,37,38
,Mar - 2020,3,37,40
,Apr - 2020,12,49,61
,May - 2020,3,27,30
,Jun - 2020,,46,46
,Jul - 2020,4,38,42
,Aug - 2020,2,40,42
,Sep - 2020,6,58,64
,Oct - 2020,2,45,47
,Nov - 2020,2,70,72
,Dec - 2020,4,34,38
,Jan - 2021,1,73,74
,Feb - 2021,7,59,66
,Mar - 2021,5,69,74
,Apr - 2021,7,73,80
,May - 2021,4,57,61
,Jun - 2021,6,69,75
,Jul - 2021,5,62,67
,Aug - 2021,6,79,85
,Sep - 2021,3,63,66
,Oct - 2021,3,78,81
,Nov - 2021,5,60,65
,Dec - 2021,5,73,78
,Jan - 2022,5,53,58
,Feb - 2022,6,60,66
,Mar - 2022,10,73,83
,Apr - 2022,2,76,78
,May - 2022,6,78,84
,Jun - 2022,3,89,92
,Jul - 2022,7,74,81
,Aug - 2022,9,84,93
,Sep - 2022,7,74,81
,Oct - 2022,9,82,91
,Nov - 2022,3,69,72
,Dec - 2022,4,66,70
,Jan - 2023,7,70,77
,Feb - 2023,6,78,84
,Mar - 2023,7,85,92
,Apr - 2023,8,88,96
,May - 2023,8,102,110
,Jun - 2023,10,70,80
,Jul - 2023,6,74,80
,Aug - 2023,7,88,95
,Sep - 2023,7,92,99
,Oct - 2023,7,96,103
,Nov - 2023,10,93,103
,Dec - 2023,1,66,67
,Jan - 2024,4,81,85
,Feb - 2024,8,94,102
,Mar - 2024,3,99,102
,Apr - 2024,12,78,90
,May - 2024,8,82,90
,Jun - 2024,8,78,86
,Jul - 2024,6,95,101
,Aug - 2024,10,99,109
,Sep - 2024,10,102,112
,Oct - 2024,6,78,84
,Nov - 2024,4,66,70
,Dec - 2024,6,81,87
270 - Embezzlement,Jan - 2019,1,207,208
,Feb - 2019,1,171,172
,Mar - 2019,1,169,170
,Apr - 2019,2,206,208
,May - 2019,1,174,175
,Jun - 2019,,205,205
,Jul - 2019,1,203,204
,Aug - 2019,4,221,225
,Sep - 2019,2,233,235
,Oct - 2019,3,219,222
,Nov - 2019,,225,225
,Dec - 2019,5,217,222
,Jan - 2020,2,243,245
,Feb - 2020,1,192,193
,Mar - 2020,2,185,187
,Apr - 2020,1,143,144
,May - 2020,1,148,149
,Jun - 2020,,159,159
,Jul - 2020,,194,194
,Aug - 2020,1,180,181
,Sep - 2020,1,172,173
,Oct - 2020,1,180,181
,Nov - 2020,1,186,187
,Dec - 2020,,197,197
,Jan - 2021,2,231,233
,Feb - 2021,,157,157
,Mar - 2021,,176,176
,Apr - 2021,1,197,198
,May - 2021,,192,192
,Jun - 2021,,226,226
,Jul - 2021,,212,212
,Aug - 2021,2,259,261
,Sep - 2021,,242,242
,Oct - 2021,1,225,226
,Nov - 2021,2,222,224
,Dec - 2021,4,229,233
,Jan - 2022,2,273,275
,Feb - 2022,,235,235
,Mar - 2022,7,286,293
,Apr - 2022,2,304,306
,May - 2022,2,283,285
,Jun - 2022,6,263,269
,Jul - 2022,2,250,252
,Aug - 2022,3,277,280
,Sep - 2022,2,285,287
,Oct - 2022,3,268,271
,Nov - 2022,5,287,292
,Dec - 2022,4,206,210
,Jan - 2023,3,309,312
,Feb - 2023,2,215,217
,Mar - 2023,1,260,261
,Apr - 2023,1,249,250
,May - 2023,,256,256
,Jun - 2023,,260,260
,Jul - 2023,4,249,253
,Aug - 2023,2,268,270
,Sep - 2023,1,257,258
,Oct - 2023,1,215,216
,Nov - 2023,,228,228
,Dec - 2023,1,223,224
,Jan - 2024,1,222,223
,Feb - 2024,1,194,195
,Mar - 2024,3,209,212
,Apr - 2024,,192,192
,May - 2024,1,191,192
,Jun - 2024,2,193,195
,Jul - 2024,1,213,214
,Aug - 2024,2,196,198
,Sep - 2024,4,176,180
,Oct - 2024,4,170,174
