Offense,Month,Attempted,Completed,Total
,Nov - 2019,2,53,55
,Dec - 2019,4,54,58
,Jan - 2020,3,77,80
,Feb - 2020,2,74,76
,Mar - 2020,2,70,72
,Apr - 2020,1,68,69
,May - 2020,,87,87
,Jun - 2020,4,86,90
,Jul - 2020,1,83,84
,Aug - 2020,3,77,80
,Sep - 2020,,82,82
,Oct - 2020,,91,91
,Nov - 2020,1,95,96
,Dec - 2020,1,83,84
,Jan - 2021,,139,139
,Feb - 2021,2,99,101
,Mar - 2021,3,134,137
,Apr - 2021,2,101,103
,May - 2021,,142,142
,Jun - 2021,,104,104
,Jul - 2021,1,149,150
,Aug - 2021,2,128,130
,Sep - 2021,2,122,124
,Oct - 2021,1,134,135
,Nov - 2021,2,124,126
,Dec - 2021,1,114,115
,Jan - 2022,3,134,137
,Feb - 2022,5,117,122
,Mar - 2022,2,129,131
,Apr - 2022,4,104,108
,May - 2022,1,133,134
,Jun - 2022,3,112,115
,Jul - 2022,3,157,160
,Aug - 2022,4,115,119
,Sep - 2022,1,149,150
,Oct - 2022,1,136,137
,Nov - 2022,1,118,119
,Dec - 2022,6,129,135
,Jan - 2023,,142,142
,Feb - 2023,2,137,139
,Mar - 2023,,137,137
,Apr - 2023,3,117,120
,May - 2023,4,131,135
,Jun - 2023,3,125,128
,Jul - 2023,1,116,117
,Aug - 2023,3,142,145
,Sep - 2023,1,124,125
,Oct - 2023,6,112,118
,Nov - 2023,1,102,103
,Dec - 2023,2,91,93
,Jan - 2024,,136,136
,Feb - 2024,5,95,100
,Mar - 2024,1,104,105
,Apr - 2024,5,116,121
,May - 2024,1,108,109
,Jun - 2024,,89,89
,Jul - 2024,4,86,90
,Aug - 2024,5,99,104
,Sep - 2024,2,89,91
,Oct - 2024,1,85,86
,Nov - 2024,6,80,86
,Dec - 2024,4,82,86
11D - Fondling,Jan - 2019,5,418,423
,Feb - 2019,4,264,268
,Mar - 2019,9,281,290
,Apr - 2019,2,323,325
,May - 2019,5,329,334
,Jun - 2019,7,355,362
,Jul - 2019,11,322,333
,Aug - 2019,10,325,335
,Sep - 2019,8,351,359
,Oct - 2019,8,391,399
,Nov - 2019,7,375,382
,Dec - 2019,3,345,348
,Jan - 2020,15,528,543
,Feb - 2020,10,375,385
,Mar - 2020,8,432,440
,Apr - 2020,6,278,284
,May - 2020,6,382,388
,Jun - 2020,10,435,445
,Jul - 2020,7,412,419
,Aug - 2020,11,427,438
,Sep - 2020,9,417,426
,Oct - 2020,12,490,502
